uuid,benchmark,solver,preconditioner,size,suite,hostname,version,fipy_version
9a53cf14-7588-4743-950a-32bbc06691d6,binary_phase_field,LinearBicgSolver,DefaultPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
3d526acc-dab6-4f0e-a79a-64b01f581e43,binary_phase_field,LinearBicgSolver,DefaultPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
76a210f7-e3a3-4740-9c87-b026d99afc48,binary_phase_field,LinearBicgSolver,ICPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
eff9def7-b4c9-4d2c-8608-a3e3c7ed9be1,binary_phase_field,LinearBicgSolver,ICPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
b15c3234-b843-42c2-ace5-29e00e75e8fd,binary_phase_field,LinearBicgSolver,ILUPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
1ae83249-39b1-4685-abc8-ae61066a67a1,binary_phase_field,LinearBicgSolver,ILUPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
a20da63b-5151-46b2-849b-8553520628ce,binary_phase_field,LinearBicgSolver,JacobiPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
11d6787b-786a-4df7-8efb-77caa374cfc1,binary_phase_field,LinearBicgSolver,JacobiPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
136da278-4468-46fd-a84a-7793b82cf4e0,binary_phase_field,LinearBicgSolver,LUPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
8c5450fe-d67a-4a93-ae42-a8cf340f36ef,binary_phase_field,LinearBicgSolver,LUPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
9fed452f-2af4-44d1-88ec-f931d994cd66,binary_phase_field,LinearBicgSolver,SSORPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
95f23e1e-604d-42fa-be79-edd5127c937f,binary_phase_field,LinearBicgSolver,SSORPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
f2c37bc1-33e3-4056-82a7-40dc0ead737a,binary_phase_field,LinearCGSSolver,DefaultPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
8bfe36b2-0102-492c-a25a-c23447a8e12b,binary_phase_field,LinearCGSSolver,DefaultPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
